Model,Subset Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Micro F1,Macro F1,Hamming Loss
Random Forest,0.9895580031469031,0.9977850593389195,0.9880043620501636,0.9928218055456276,0.9928767123287672,0.9900224928162479,0.0015938860167153688
Neural Network,0.9918466599914175,0.9909013881698943,0.9927299163940385,0.9917773696555404,0.9918285818049755,0.9919172677346164,0.0018390992500561948
Logistic Regression,0.9869832641968245,0.9894486365048988,0.9912758996728462,0.9903485536476037,0.9903758852369712,0.9880465091483892,0.0021660502278439625
XGBoost,0.9846946073523101,0.992838548425731,0.9861868411486732,0.9894711866221833,0.9895139965350597,0.9909444263817286,0.0023499601528495823
SVM,0.9786153626090688,0.980344719455038,0.9856415848782261,0.9827672849327718,0.9829617545767627,0.9824628394735017,0.0038416739890062735
DistilBERT,0.26562723501644975,0.2663864228992317,0.26481279534714647,0.26559393933975367,0.2653432890183937,0.11676458657019584,0.16486503054948198
