Risk Category,Precision,Recall,F1,False Negatives,False Positives,Total Errors
financial_risk,0.9734829336877142,0.9133250311332504,0.9421464025168959,348,98,446
phishing_spam_risk,0.9881409261573042,0.9809829059829059,0.984522748976085,445,274,719
proprietary_risk,0.997959130547963,0.9897959183673469,0.993789900626696,10,2,12
legal_risk,0.9916850088918983,0.9960178027641134,0.993838527825971,85,179,264
credential_risk,0.9994428969359331,0.9972067039106145,0.9983177441867678,5,1,6
customer_info_risk,0.9972481811816992,1.0,0.9986176351139072,0,5,5
attachment_risk,0.999410029498525,1.0,0.9997045790251107,0,1,1
