Model,False Negatives,False Positives,Total Errors,Error Rate
Logistic Regression,96,115,211,0.002155833009788095
Neural Network,95,98,193,0.0019719230847824753
Random Forest,132,24,156,0.0015938860167153688
SVM,418,245,663,0.006774015571040317
XGBoost,152,78,230,0.0023499601528495823
