Model,Risk Category,Precision,Recall,F1 Score,Support
XGBoost,attachment_risk,1.0,1.0,1.0,338.0
XGBoost,customer_info_risk,0.997229916897507,1.0,0.9986130374479889,360.0
XGBoost,credential_risk,1.0,0.9972067039106145,0.9986013986013986,358.0
XGBoost,legal_risk,0.9985915492957746,0.9964862965565706,0.9975378121702427,4269.0
XGBoost,proprietary_risk,0.9948717948717949,0.9897959183673469,0.9923273657289002,196.0
XGBoost,phishing_spam_risk,0.9868873602751504,0.9809829059829059,0.9839262751821689,4680.0
XGBoost,financial_risk,0.9882659713168188,0.9439601494396015,0.9656050955414013,803.0
