Model,Subset Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Micro F1,Macro F1,Hamming Loss
DistilBERT,0.992275783149764,0.9964368570530634,0.9934539503591235,0.9949403390926624,0.9949465058046892,0.9958793850583937,0.00113411120420132
Neural Network,0.9871978257759977,0.988399995950565,0.988817165196836,0.9885677433513579,0.988637396600309,0.9885133025213533,0.002554304513966937
Random Forest,0.9829065941925332,0.9906166995625915,0.9827257023365761,0.9865780135468313,0.9866727521679598,0.9879158565168809,0.0029834276723133824
Logistic Regression,0.9819768273494492,0.9837622113525941,0.9890899172652059,0.9864026840834716,0.98635477582846,0.9844536693370488,0.0030753826348161924
SVM,0.949864110999857,0.964236044548116,0.9603600327302482,0.9620621280648224,0.9624601366742597,0.9710716233531855,0.008418987678035025
XGBoost,0.9501501931054213,0.9572209740389788,0.9566324211291936,0.9549177122793991,0.9553729513778545,0.9680268396216788,0.010043525348917996
